[00:07 - 00:15]  Крахмал, гликоген, целлюлоза.
[80:50 - 80:53]  Поэтому животные лучше усваивают растительную пищу.
[80:53 - 80:57]  С помощью бактерий животные могут не только переваривать пищу, но и добавлять их.
[80:57 - 81:01]  У телегавайского кальмара обитают флуоресцентные бактерии.
[81:01 - 81:04]  Цвет от них привлекает добычу, пока хищник прячется в тени.
[81:05 - 81:08]  В организме человека столько же бактериальных клеток, сколько и своих собственных.
[81:09 - 81:16]  На коже, во рту, в лёгких и кишечнике обитают разные бактериальные сооружения, и они выполняют важные функции.
[81:16 - 81:23]  Например, благодаря бактериям кишечника в нашем организме синтезируются витамины, ускоряется пищеварение и вырабатывается иммунитет.
[81:23 - 81:25]  Сожительство с бактериями не всегда безобидно.
[81:25 - 81:30]  Бактерии вызывают опаснейшие болезни – туберкулез, холиру, сифилис и чумов.
[81:30 - 81:34]  До появления антибиотиков и бакцин эти инфекции унесли миллионы жизней.
[81:35 - 81:38]  В 21 веке человечество столкнулось с новой эпидемией.
[81:39 - 81:41]  Наша планета задыхается от пластика.
[81:42 - 81:43]  И теперь вся надежда только на бактерии.
[81:44 - 81:50]  Если они научатся поедать пластиковые отходы, мы сможем решить проблему загрязнения окружающей среды.
[81:58 - 82:11]  Всех нас один генитин десятков общих ген.
[82:12 - 82:15]  Живые существа похожи, потому что имеют общее происхождение.
[82:15 - 82:18]  Кто же был нашим общим предком?
[82:27 - 82:40]  Жизнь хранится в ДНК.
[82:40 - 82:43]  Генетический код записан с помощью алфавиты из четырёх букв.
[82:45 - 82:48]  В словаре ДНК 64 трёхбукленных слова.
[82:48 - 82:52]  Они определяют 20 аминокислот и один знак применения.
[82:52 - 82:54]  Из аминокислот строятся белки,
[82:54 - 82:58]  а последовательность, определяющая молекулу одного белка, называется геном.
[82:58 - 83:01]  Гене всех живых существ записаны на одном языке.
[83:02 - 83:03]  А значит, их можно сравнивать.
[83:03 - 83:06]  Даже у далёких родственников иногда совпадают целые абзацы.
[83:06 - 83:10]  Одиномый человек и шимпанзе различаются только каждой сотой буквы.
[83:10 - 83:16]  Если ген есть у всех, то, скорее всего, он был у нашего общего в 90-м году.
[83:17 - 83:22]  Америкоза сравнил ревосомальную и основных крупных ныне живущих организмов.
[83:23 - 83:25]  Асомы — это очень древние структуры.
[83:25 - 83:29]  Они есть у всех, поскольку отвечают за критически важный процесс — синтез белка.
[83:30 - 83:33]  Грюзу удалось выделить три основные литвы на общем древе жизни.
[83:34 - 83:37]  В первую попали все животные, растения и грибы.
[83:37 - 83:39]  Во-вторых, во-вторых, во-вторых, во-вторых, во-вторых.
[83:39 - 83:42]  До свидания.
[83:47 - 85:28]  Нужно было 3-4 головы, прочитать, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все-таки, все
[85:28 - 86:12]  Бл-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-э-
[86:12 - 86:14]  Ну и буду вот так вот открыть
[86:16 - 86:18]  Найду
[86:23 - 86:24]  Может быть меньше чем больше
[86:34 - 86:36]  О, ты видел такую?
[86:38 - 86:40]  Это из этого
[86:42 - 86:45]  Это и есть как раз заводной апельсин
[86:48 - 86:51]  Не мешаешь, не мешаешь
[86:51 - 86:53]  Давай класть райн
[86:53 - 86:58]  Ясно
[86:59 - 87:00]  Спасибо, что оказалось
[87:00 - 87:03]  Конечно, я с радостью
[87:04 - 87:06]  Тебе звонили, объясните мне.
[87:07 - 87:08]  Ай, блин.
[87:08 - 87:12]  Тебе кто-то звонил и тебе кто-то писал.
[87:13 - 87:14]  Интересно.
[87:14 - 87:16]  А, я забыл запись включить.
